name,address
СИЗО-1 Волгоград,"г. Волгоград, ул. Голубинская, д. 3"
СИЗО-2 Сызранский Централ,"г. Сызрань, ул. Хлебцевича д. 1"
СИЗО-1 Кемерово,"г. Кемерово, Кузнецкий пр- кт д. 174"
ИК-11 Бор,"г. Бор, 2- й микрорайон д. 2"
СИЗО-1 Брянск,"г. Брянск, ул. Советская д. 2"
СИЗО-8 Сергиев Посад,"г. Сергиев Посад, пр. Красной Армии 58"
ИК-5 Кохма,"г. Кохма, ул. Кочетовой д. 59 А"
СИЗО-5 Ленинск,"г. Ленинск, ул. Промышленная д. 12"
ИК-4 Армавир,"г.  Армавир, ул. Володарского д. 1-а"
СИЗО-5 Чистополь,"г. Чистополь, ул. Карла Либкнехта д. 1"
СИЗО-5 Дюртюли,"Дюртюлинский р- н, с. Иванеево, ул. Промзона"
СИЗО-1 Хабаровск,"г. Хабаровск, ул. Знаменьщиков д. 6"
ИК-9 Новосибирск,"г. Новосибирск, ул. Гусинобродское шоссе д.114"
СИЗО-1 Киров,"г. Киров, ул. Мопра д. 1"
ИК-4 Торжок,"г. Торжок, ул. Старицкая д. 79"
СИЗО-1 Иркутск,"г. Иркутск, ул. Баррикад д. 63 СИЗО-1"
ИК-12 Волжский,"г. Волжский, ул. Александрова д. 86"
ИК-19 Суровикино,"г. Суровикино, ул. Орджоникидзе, д. 99"
СИЗО-2 Казань,"г. Казань, ул. Большая д. 98"
СИЗО-2 Дружный,"Кстовский р- н, поселок Дружный"
СИЗО-1 Калуга,"г. Калуга, ул. Николо- Козинская д. 110 А"
СИЗО-2 Армавир,"г. Армавир, ул. Пугачева д. 32"
СИЗО-6 Ангарск,"г. Ангарск, 1-й промышленный массив, квартал 10, строение 3 - СИЗО-6"
СИЗО-6 Кировград,"г. Кировград, ул. Дзержинского д. 26."
СИЗО-2 Вологодский Централ,"г. Вологда, ул. Трудовая д. 2"
ИК-16 Салават- 6,"г. Салават- 6,"
ИК-24 Камышин,"г. Камышин, п. Мичуринский"
КП-8 Садки,"Веселовский район, п. Садки, ул. Центральная д. 19"
СИЗО-1 Пермь,"г. Пермь, ул. Клименко д. 24"
