"god";"region";"rayon";"oktmo";"okato";"kladr";"dolya_per_person";"avg_income";"dolya_no_public_transport";"dtp_per_km";"roads_dencity_km_ga"
2015;Архангельская область;Пинежский район;"11648000";"11248000000";"2901500000000";0.0010256848583272788;31527.0;0.207;0.029119145407111965;0.0002566290956758
2015;Архангельская область;Плесецкий район;"11550000";"11250000000";"2901600000000";0.001080827067669173;31636.1;0.0087;0.08082938318990268;0.0002184016024507
2015;Архангельская область;Приморский район;"11652000";"11252000000";"2900100000000";0.004561267877850793;38397.1;0.17;0.20844374684500735;0.0001227087963821
2015;Архангельская область;Северодвинск;"11730000";"11430000000";"2900000400000";0.0013336404098400166;47363.1;;1.4990968744746467;0.001391716781066583
2015;Архангельская область;Устьянский район;"11554000";"11254000000";"2901700000000";0.001198170067533222;30509.4;0.013999999999999999;0.03972075166691437;0.0007746841891812
2015;Архангельская область;Холмогорский район;"11556000";"11256000000";"2901800000000";0.0037508004757112797;28522.2;0.057999999999999996;0.19163356197625248;0.0002532625120999
2015;Архангельская область;Шенкурский район;"11558000";"11258000000";"2901900000000";0.002253944402704733;26599.3;0.052000000000000005;0.05007511470962607;0.0005302863117669
2015;Астраханская область; Знаменск;"12719000";"12519000000";"3000000200000";;;;;
2015;Астраханская область;Астрахань;"12701000";"12401000000";"3000000100000";0.0019090244621943636;30908.3;;1.2360097323600974;0.03938856677368345
2015;Астраханская область;Ахтубинский район;"12605000";"12205000000";"3000200000000";0.0009899331414386;20943.1;0.01;0.1383273054783632;0.0008102289796037
2015;Астраханская область;Володарский район;"12610000";"12210000000";"3000300000000";0.0007525555532329;15858.5;0.0492;0.07468879668049792;0.001184861610714271
2015;Астраханская область;Енотовский район;"12615000";"12215000000";"3000400000000";0.001195572524972039;18255.3;;0.2818181818181818;0.0001746919070004
2015;Астраханская область;Икрянский район;"12620000";"12220000000";"3000500000000";0.0010442555502182494;18289.5;0.0033;0.19275251031791812;0.0013282129743803603
2015;Астраханская область;Камызякский район;"12625000";"12225000000";"3000600000000";0.0008533311132849;16628.0;0.006;0.11316588843891674;0.0010631993234112948
2015;Астраханская область;Красноярский район;"12630000";"12230000000";"3000700000000";0.0007322232467321;38824.3;;0.12140288102960603;0.0004227750963724
2015;Астраханская область;Лиманский район;"12635000";"12235000000";"3000800000000";0.0011524794314434804;21203.0;;0.42203984422082774;0.0001614768086311
2015;Астраханская область;Наримановский район;"12640000";"12240000000";"3000900000000";0.002012494235042556;28731.4;0.0361;0.42402827998261144;0.0003696054884074
2015;Астраханская область;Приволжский район;"12642000";"12242000000";"3001000000000";0.0016543779743060803;21379.8;0.0163;0.4383116810734789;0.0021987959337952767
2015;Астраханская область;Харабалинский район;"12645000";"12245000000";"3001100000000";0.001174656779972102;19368.0;;0.10400866738894908;0.0005998935237741
